Comment,Designator,Footprint,LCSC,Quantity
GZ2012D101TF,L1,L0805,C1015,1
SN65HVD230DR,U13,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C12084,1
22u,"C15,C16",C_1206_3216Metric,C12891,2
100n,C13,C_0603_1608Metric,C14663,1
100k,"R30,R31",R_0805_2012Metric,C149504,2
100n,"C1,C10,C11,C12,C17,C19,C2,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525,13
1u,C8,C_0603_1608Metric,C15849,1
56p,C18,C_0603_1608Metric,C1676,1
10k,"R13,R24",C_0805_2012Metric,C17414,2
120R,R28,R_0805_2012Metric,C17437,1
0Ohm,"R1,R10,R11,R14,R15,R16,R17,R18,R19,R2,R20,R21,R25,R26,R27,R29,R3,R33,R34,R35,R36,R37,R38,R4,R5,R6,R8,R9",R_0805_2012Metric,C17477,28
22k,R32,R_0805_2012Metric,C17560,1
15uH,L2,IND-SMD_L7.1-W6.6_SLO0618H,C182182,1
10u,C14,C_0603_1608Metric,C19702,1
1k,"R12,R7",R_0603_1608Metric,C21190,2
0603White_light_C2290,"LED1,LED2",LED0603-R-RD_WHITE,C2290,2
S4B-PH-SM4-TB(LF)(SN),"U1,U4,U6",CONN-SMD_S4B-PH-SM4-TB-LF-SN,C265102,3
5.1k,"R22,R23",R_0805_2012Metric,C27834,2
ESP32-S3-WROOM-1(N16),U3,WIRELM-SMD_ESP32-S3-WROOM-1,C2913199,1
SP0503BAHTG_C3040626,U12,SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL,C3040626,1
USB-306,U10,USB-TYPE-C-TH_USB-306.,C309338,1
ISL3178EIBZ-T,U16,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C382015,1
RJ-064-1,U14,CONN-SMD_RJ-064,C7205199,1
K2-6639SP-C4SC-04,"U8,U9",KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,C83206,2
ADUM1201ARZ-RL7,"U2,U5,U7",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C9669,3
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
TestPoint,TP7,TestPoint_Pad_D2.0mm,,1
TestPoint,TP9,TestPoint_Pad_D2.0mm,,1
ESP Serial,J2,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Socket,J1,PinSocket_1x04_P2.54mm_Vertical,,1
TestPoint,TP3,TestPoint_Pad_D2.0mm,,1
Conn_01x14_Pin,J3,PinHeader_1x14_P2.54mm_Vertical,,1
~,U11,E49-900M20S,,1
TestPoint,TP6,TestPoint_Pad_D2.0mm,,1
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
TestPoint,TP4,TestPoint_Pad_D2.0mm,,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
TPS54202DDC,U15,SOT-23-6,,1
TestPoint,TP8,TestPoint_Pad_D2.0mm,,1
